date,BTC-USD,ETH-USD,SOL-USD,ALGO-USD,HBAR-USD,QRL-USD,CELL-USD
2025-01-20,96059.66477027678,3096.412798382501,228.82812950446512,0.419490468117134,0.3283727264549726,0.4917044576152905,0.6030556466173411
2025-01-21,99632.12712029359,3133.633195076564,235.83082410989485,0.41417431635575414,0.3239397589114705,0.4837358530026131,0.6465134557458517
2025-01-22,96984.33400605503,3042.3877502595774,241.53134573427283,0.395199053930465,0.31181678594343304,0.494322829292241,0.6202174072237325
2025-01-23,96964.13776556731,3121.728803203055,237.26723561804317,0.39962616288688874,0.31310480691867604,0.49335968791786183,0.5957713617531912
2025-01-24,97456.521077901,3088.8959168845854,236.46878754906567,0.38949896250534244,0.31250979178830446,0.5030349728921908,0.603551085037823
2025-01-25,97051.23323604309,3086.821788561281,238.28437581905663,0.3915827437023741,0.3164375647057168,0.5112369513699815,0.6166910979932231
2025-01-26,94866.91707131814,3002.3024966902226,223.47805482754794,0.371307719304811,0.30763614848089127,0.4627000654820239,0.5747544623640831
2025-01-27,94019.17887174703,2940.3882942077284,217.4355016488204,0.3753140559811843,0.29842057586738957,0.45298581712629893,0.5985026433212064
2025-01-28,93028.59860166501,2837.693780394335,209.5260624872464,0.35224952384431835,0.2834536986030183,0.456535966440913,0.5493603574022813
2025-01-29,94904.05290406932,2862.188602342037,209.57969425768087,0.35735851984465394,0.29203355721260266,0.4517777857394976,0.5454332292970024
2025-01-30,95545.53367330744,2977.1655645112137,219.10704471548593,0.37514447033819753,0.2983981603854625,0.45390482660221226,0.5887055679303312
2025-01-31,93124.35666764739,3014.387365740137,211.70110866721316,0.3658881720093813,0.2886367005068976,0.46137038049152046,0.5603720416554047
2025-02-01,91244.35839750053,2841.400764209352,194.79951970141008,0.3365339190076525,0.268362884818494,0.4514007150825375,0.5257897894994821
2025-02-02,88274.86300461784,2606.1042465414953,184.5268738185571,0.28937447936291977,0.23761261104200015,0.47050692355417106,0.4904900268566133
2025-02-03,91343.44834541265,2612.6752093992213,195.77590765657823,0.3009841464492166,0.25757545973016954,0.45090219448599284,0.49083307028282536
2025-02-04,87881.73585555641,2469.832121716197,187.0101778359827,0.2807468739914704,0.2344068997988481,0.4490123876480529,0.4034084233031101
2025-02-05,86479.31777378402,2509.905844729068,176.4529321081512,0.270491346307651,0.22255401525364354,0.4441535446048608,0.4108075982715637
2025-02-06,86186.13762163011,2413.182819174086,170.34502537343698,0.255857135590868,0.21293896804190582,0.42950224419386246,0.3873201129977291
2025-02-07,85856.53494458957,2346.718394325177,172.01138979590954,0.25822999896212256,0.21623842265888968,0.43597518583449546,0.3667922021812368
2025-02-08,85543.74012816686,2348.6980672746568,178.09459813660752,0.26408292057698807,0.21734395772829687,0.4043181870159803,0.39332340720990405
2025-02-09,85288.87123833245,2338.471448829882,178.35965939041347,0.26339948120386814,0.2123487019827707,0.4314683261639672,0.4161357150795549
