date,BTC-USD,ETH-USD,SOL-USD,QRL-USD,ALGO-USD
2022-12-28,16552.572265625,1189.986083984375,9.755906105041504,0.0968229994177818,0.1672410070896148
2022-12-29,16642.341796875,1201.5953369140625,9.651782989501951,0.1022560000419616,0.1651510000228881
2022-12-30,16602.5859375,1199.2327880859375,9.880176544189451,0.0968459993600845,0.1690080016851425
2022-12-31,16547.49609375,1196.771240234375,9.96103858947754,0.1023870036005973,0.1728180050849914
2023-01-01,16625.080078125,1200.96484375,9.982172966003418,0.1009970009326934,0.1774660050868988
2023-01-02,16688.470703125,1214.6566162109375,11.272967338562012,0.1051430031657219,0.181194007396698
2023-01-03,16679.857421875,1214.77880859375,13.344045639038086,0.1053849980235099,0.1843020021915435
2023-01-04,16863.23828125,1256.526611328125,13.435112953186035,0.1075130030512809,0.1870930045843124
2023-01-05,16836.736328125,1250.4385986328125,13.419329643249512,0.1044590026140213,0.1835439950227737
2023-01-06,16951.96875,1269.3790283203125,13.52584171295166,0.1064580008387565,0.1894969940185547
2023-01-07,16955.078125,1264.2703857421875,13.092267990112305,0.1121490001678466,0.1943860054016113
2023-01-08,17091.14453125,1287.3594970703125,14.31993293762207,0.1136989966034889,0.1995500028133392
2023-01-09,17196.5546875,1321.5389404296875,16.30246353149414,0.1085100024938583,0.2006880044937133
2023-01-10,17446.29296875,1336.5860595703125,16.19672393798828,0.1101370006799697,0.2040710002183914
2023-01-11,17934.896484375,1387.9327392578125,16.35941505432129,0.1089679971337318,0.2107339948415756
2023-01-12,18869.587890625,1417.9384765625,16.619043350219727,0.1124719977378845,0.2125259935855865
2023-01-13,19909.57421875,1451.6148681640625,18.28844451904297,0.1029499992728233,0.2210189998149871
2023-01-14,20976.298828125,1550.7069091796875,24.24945831298828,0.1054359972476959,0.2295220047235489
2023-01-15,20880.798828125,1552.4794921875,22.873306274414062,0.1041570007801055,0.240335002541542
2023-01-16,21169.6328125,1576.83349609375,23.577564239501957,0.1149739995598793,0.2342890053987503
2023-01-17,21161.51953125,1567.8460693359375,22.884063720703125,0.108814999461174,0.2294970005750656
2023-01-18,20688.78125,1515.5069580078125,20.85063362121582,0.1123400032520294,0.2095939964056015
2023-01-19,21086.79296875,1552.5565185546875,21.42676544189453,0.11871899664402,0.2175280004739761
2023-01-20,22676.552734375,1659.754150390625,25.54827117919922,0.1194700002670288,0.239776000380516
2023-01-21,22777.625,1627.1181640625,24.627838134765625,0.1142589971423149,0.239666998386383
2023-01-22,22720.416015625,1628.382080078125,24.232789993286133,0.1234169974923133,0.2467110008001327
2023-01-23,22934.431640625,1628.2510986328125,24.357807159423828,0.1199309974908828,0.2503030002117157
2023-01-24,22636.46875,1556.604248046875,22.795673370361328,0.1168790012598037,0.2370399981737136
2023-01-25,23117.859375,1611.7110595703125,24.57144546508789,0.1200700029730796,0.2453680038452148
2023-01-26,23032.77734375,1603.10595703125,24.350696563720703,0.1100459992885589,0.2458080053329467
2023-01-27,23078.728515625,1598.156494140625,24.40785789489746,0.1103710010647773,0.2547279894351959
2023-01-28,23031.08984375,1572.43505859375,23.981801986694336,0.0932760015130043,0.2573019862174988
2023-01-29,23774.56640625,1646.1556396484375,26.132387161254883,0.1079709976911544,0.2621929943561554
2023-01-30,22840.138671875,1567.3265380859375,23.94632148742676,0.1050330027937889,0.2397709935903549
2023-01-31,23139.283203125,1586.535400390625,23.952547073364254,0.108364000916481,0.2422060072422027
2023-02-01,23723.76953125,1641.792724609375,24.993358612060547,0.121129997074604,0.2510319948196411
2023-02-02,23471.87109375,1643.2415771484375,24.26505851745605,0.1074580028653144,0.2554140090942383
2023-02-03,23449.322265625,1664.74560546875,24.680896759033203,0.1006480008363723,0.2709279954433441
2023-02-04,23331.84765625,1667.0592041015625,24.317745208740234,0.1013000011444091,0.2670210003852844
2023-02-05,22955.666015625,1631.6458740234375,23.493438720703125,0.1015859991312027,0.2571020126342773
2023-02-06,22760.109375,1616.2470703125,22.706388473510746,0.1208190023899078,0.2554210126399994
2023-02-07,23264.291015625,1672.0035400390625,23.86135673522949,0.1226340010762214,0.2791579961776733
2023-02-08,22939.3984375,1650.716796875,23.192670822143555,0.1515489965677261,0.2900139987468719
2023-02-09,21819.0390625,1546.438232421875,20.45212745666504,0.1183139979839325,0.2553040087223053
2023-02-10,21651.18359375,1514.869140625,20.130109786987305,0.1200549975037574,0.2520099878311157
