date,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ITC.NS,LT.NS,SUNPHARMA.NS
2024-01-27,1336.952392578125,3506.31201171875,686.9830932617188,1538.147705078125,391.1089782714844,3498.30810546875,1331.5338134765625
2024-01-28,1336.952392578125,3506.31201171875,686.9830932617188,1538.147705078125,391.1089782714844,3498.30810546875,1331.5338134765625
2024-01-29,1430.795654296875,3497.75390625,696.438720703125,1526.6285400390625,386.0875854492188,3609.825439453125,1363.2093505859375
2024-01-30,1390.8524169921875,3497.34033203125,691.4834594726562,1521.882568359375,376.0019226074219,3537.103271484375,1334.89111328125
2024-01-31,1409.6259765625,3511.511474609375,700.220947265625,1530.59130859375,379.0061645507813,3387.618896484375,1380.3360595703125
2024-02-01,1409.650634765625,3546.663818359375,702.0402221679688,1527.0433349609375,380.1649475097656,3308.033203125,1370.1182861328125
2024-02-02,1440.3306884765625,3649.866455078125,692.3692016601562,1560.4951171875,377.7615661621094,3286.66455078125,1378.5845947265625
2024-02-03,1440.3306884765625,3649.866455078125,692.3692016601562,1560.4951171875,377.7615661621094,3286.66455078125,1378.5845947265625
2024-02-04,1440.3306884765625,3649.866455078125,692.3692016601562,1560.4951171875,377.7615661621094,3286.66455078125,1378.5845947265625
2024-02-05,1421.8782958984375,3656.307861328125,691.7467651367188,1554.82763671875,376.0019226074219,3253.2724609375,1424.4677734375
2024-02-06,1410.7869873046875,3806.02783203125,691.3876953125,1593.7626953125,370.29388427734375,3333.58837890625,1435.464111328125
2024-02-07,1424.966064453125,3757.623779296875,684.6130981445312,1560.86376953125,370.63720703125,3304.820556640625,1455.9970703125
2024-02-08,1432.845947265625,3804.279296875,671.734375,1559.34326171875,361.260986328125,3247.187744140625,1459.3056640625
2024-02-09,1443.344482421875,3803.911865234375,671.99755859375,1538.378173828125,362.0888671875,3236.528076171875,1502.073974609375
2024-02-10,1443.344482421875,3803.911865234375,671.99755859375,1538.378173828125,362.0888671875,3236.528076171875,1502.073974609375
2024-02-11,1443.344482421875,3803.911865234375,671.99755859375,1538.378173828125,362.0888671875,3236.528076171875,1502.073974609375
